,date,name,value
380,2014-01-01,Toa Alta,74615
381,2014-01-01,Toa Baja,83845
382,2014-01-01,Trujillo Alto,70860
383,2014-01-01,Utuado,30937
384,2014-01-01,Vega Alta,39073
385,2014-01-01,Vega Baja,55922
386,2014-01-01,Vieques,9069
387,2014-01-01,Villalba,24263
388,2014-01-01,Yabucoa,35728
389,2014-01-01,Yauco,38554
390,2015-01-01,Adjuntas,18567
391,2015-01-01,Aguada,39546
392,2015-01-01,Aguadilla,55817
393,2015-01-01,Aguas Buenas,26927
394,2015-01-01,Aibonito,24039
395,2015-01-01,Añasco,27947
396,2015-01-01,Arecibo,89628
397,2015-01-01,Arroyo,18531
398,2015-01-01,Barceloneta,24613
399,2015-01-01,Barranquitas,29300
400,2015-01-01,Bayamón,188766
401,2015-01-01,Cabo Rojo,49778
402,2015-01-01,Caguas,134389
403,2015-01-01,Camuy,33002
404,2015-01-01,Canóvanas,46897
405,2015-01-01,Carolina,161862
406,2015-01-01,Cataño,25621
407,2015-01-01,Cayey,45469
408,2015-01-01,Ceiba,12238
409,2015-01-01,Ciales,17353
410,2015-01-01,Cidra,41230
411,2015-01-01,Coamo,39879
412,2015-01-01,Comerío,19963
413,2015-01-01,Corozal,34983
414,2015-01-01,Culebra,1808
415,2015-01-01,Dorado,37809
416,2015-01-01,Fajardo,33057
417,2015-01-01,Florida,12165
418,2015-01-01,Guánica,17360
419,2015-01-01,Guayama,42652
420,2015-01-01,Guayanilla,19590
421,2015-01-01,Guaynabo,90876
422,2015-01-01,Gurabo,47180
423,2015-01-01,Hatillo,41055
424,2015-01-01,Hormigueros,16490
425,2015-01-01,Humacao,54787
426,2015-01-01,Isabela,43358
427,2015-01-01,Jayuya,15308
428,2015-01-01,Juana Díaz,48019
429,2015-01-01,Juncos,39698
430,2015-01-01,Lajas,23908
431,2015-01-01,Lares,27365
432,2015-01-01,Las Marías,8876
433,2015-01-01,Las Piedras,38293
434,2015-01-01,Loíza,27240
435,2015-01-01,Luquillo,18961
436,2015-01-01,Manatí,40705
437,2015-01-01,Maricao,5875
438,2015-01-01,Maunabo,11318
439,2015-01-01,Mayagüez,79666
440,2015-01-01,Moca,37748
441,2015-01-01,Morovis,31860
442,2015-01-01,Naguabo,26621
443,2015-01-01,Naranjito,29150
444,2015-01-01,Orocovis,21935
445,2015-01-01,Patillas,17795
446,2015-01-01,Peñuelas,21718
447,2015-01-01,Ponce,149042
448,2015-01-01,Quebradillas,24580
449,2015-01-01,Rincón,14559
450,2015-01-01,Río Grande,51783
